ACC_NUCCORE,Host_BIOSAMPLE,IsolationSource_BIOSAMPLE,sample_class
NZ_CP009698.1,human,human,Human
NZ_CP009317.1,Human blood,Human blood,Human
NZ_CP009359.1,Mercenaria mercenaria,Larvae from hard clams (Mercenaria mercenaria),Animal
NZ_CP009358.1,Mercenaria mercenaria,Larvae from hard clams (Mercenaria mercenaria),Animal
NZ_CP009357.1,Mercenaria mercenaria,Larvae from hard clams (Mercenaria mercenaria),Animal
NZ_CP009356.1,Mercenaria mercenaria,Larvae from hard clams (Mercenaria mercenaria),Animal
NZ_CP009921.1,environmental sample,environmental sample,Env.
NZ_CP009919.1,environmental sample,environmental sample,Env.
NZ_CP009918.1,environmental sample,environmental sample,Env.
NZ_CP009917.1,environmental sample,environmental sample,Env.
NZ_CP009916.1,environmental sample,environmental sample,Env.
NZ_CP009915.1,environmental sample,environmental sample,Env.
NZ_CP009691.1,soil,soil,Env.
NZ_CP009690.1,soil,soil,Env.
NZ_CP009689.1,soil,soil,Env.
NZ_CP008945.1,Homo sapiens,NA human clinical source,Human
NZ_CP009216.1,Homo sapiens,blood culture,Human
NZ_CP009940.1,Homo sapiens,Human clinical,Human
NZ_CP009939.1,Homo sapiens,Human clinical,Human
NZ_CP007231.1,rabbit,,Animal
NC_022225.1,Paralichthys olivaceus (flounder),,Animal
NC_021657.1,Homo sapiens,,Human
NC_020276.1,Homo sapiens,,Human
NC_020275.1,Homo sapiens,,Human
NC_011878.1,Cinara cedri,,Animal
NZ_LR890433.1,Homo sapiens,wound,Human
NZ_LR890432.1,Homo sapiens,wound,Human
NZ_LR890431.1,Homo sapiens,wound,Human
NZ_LR890430.1,Homo sapiens,wound,Human
NZ_LR890429.1,Homo sapiens,wound,Human
NZ_LR890428.1,Homo sapiens,wound,Human
NZ_LR890427.1,Homo sapiens,wound,Human
NZ_LR890713.1,Homo sapiens,rectal swab,Human
NZ_LR890712.1,Homo sapiens,rectal swab,Human
NZ_LR890711.1,Homo sapiens,rectal swab,Human
NZ_LR890298.1,Homo sapiens,Rectal swab,Human
NZ_LR890297.1,Homo sapiens,Rectal swab,Human
NZ_LR890296.1,Homo sapiens,Rectal swab,Human
NZ_LR890295.1,Homo sapiens,Rectal swab,Human
NZ_LR890294.1,Homo sapiens,Rectal swab,Human
NZ_LR890293.1,Homo sapiens,Rectal swab,Human
NZ_LR890292.1,Homo sapiens,Rectal swab,Human
NZ_LR890725.1,Homo sapiens,rectal swab,Human
NZ_LR890724.1,Homo sapiens,rectal swab,Human
NZ_LR890723.1,Homo sapiens,rectal swab,Human
NZ_LR890208.1,Homo sapiens,BAL,Human
NZ_LR890207.1,Homo sapiens,BAL,Human
NZ_LR890206.1,Homo sapiens,BAL,Human
NZ_LR890205.1,Homo sapiens,BAL,Human
NZ_LR890234.1,Homo sapiens,rectal swab,Human
NZ_LR890233.1,Homo sapiens,rectal swab,Human
NZ_LR890232.1,Homo sapiens,rectal swab,Human
NZ_LR890231.1,Homo sapiens,rectal swab,Human
NZ_LR890355.1,Homo sapiens,rectal swab,Human
NZ_LR890354.1,Homo sapiens,rectal swab,Human
NZ_LR890387.1,Homo sapiens,sputum,Human
NZ_LR890386.1,Homo sapiens,sputum,Human
NZ_LR890385.1,Homo sapiens,sputum,Human
NZ_CP068051.1,rice shoot,rice shoot,Env.
NZ_CP068014.1,in the nicotine environment,in the nicotine environment,Env.
NZ_CP045686.1,Homo sapiens,rectum,Human
NZ_CP045685.1,Homo sapiens,rectum,Human
NZ_CP045684.1,Homo sapiens,rectum,Human
NZ_CP045683.1,Homo sapiens,rectum,Human
NZ_CP045682.1,Homo sapiens,rectum,Human
NZ_CP045681.1,Homo sapiens,rectum,Human
NZ_CP045680.1,Homo sapiens,rectum,Human
NZ_CP045679.1,Homo sapiens,rectum,Human
NZ_CP045678.1,Homo sapiens,rectum,Human
NZ_CP045677.1,Homo sapiens,rectum,Human
NZ_CP045676.1,Homo sapiens,rectum,Human
NZ_CP045675.1,Homo sapiens,rectum,Human
NZ_CP045195.1,Homo sapiens,rectum,Human
NZ_CP045194.1,Homo sapiens,rectum,Human
NZ_CP041972.1,Homo sapiens,stool,Human
NZ_CP041975.1,Homo sapiens,stool,Human
NZ_CP041974.1,Homo sapiens,stool,Human
NZ_CP034304.1,Penaeus vannamei,AHPND infected Litopenaeus vannamei,Animal
NZ_CP034303.1,Penaeus vannamei,AHPND infected Litopenaeus vannamei,Animal
NZ_CP034302.1,Penaeus vannamei,AHPND infected Litopenaeus vannamei,Animal
NZ_CP034301.1,Penaeus vannamei,AHPND infected Litopenaeus vannamei,Animal
NZ_CP034300.1,Penaeus vannamei,AHPND infected Litopenaeus vannamei,Animal
NZ_CP034297.1,Penaeus vannamei,AHPND infected Litopenaeus vannamei,Animal
NZ_CP034296.1,Penaeus vannamei,AHPND infected Litopenaeus vannamei,Animal
NZ_CP034293.1,Penaeus japonicus,AHPND infected Penaeus japonicus,Animal
NZ_CP034292.1,Penaeus japonicus,AHPND infected Penaeus japonicus,Animal
NZ_CP034291.1,Penaeus japonicus,AHPND infected Penaeus japonicus,Animal
NZ_CP034308.1,Penaeus japonicus,AHPND infected Penaeus japonicus,Animal
NZ_CP034307.1,Penaeus japonicus,AHPND infected Penaeus japonicus,Animal
NZ_CP034288.1,Penaeus vannamei,AHPND infected Litopenaeus vannamei,Animal
NZ_CP034287.1,Penaeus vannamei,AHPND infected Litopenaeus vannamei,Animal
NZ_CP037930.1,Homo sapiens,blood,Human
NZ_CP037929.1,Homo sapiens,blood,Human
NZ_CP038162.1,swine,swine,Animal
NZ_LN831185.1,New Delhi seepage water sample,New Delhi seepage water sample,Env.
NZ_LN831184.1,New Delhi seepage water sample,New Delhi seepage water sample,Env.
NZ_CP047317.1,rice,,Env.
NZ_CP047375.1,Sablefish,,Animal
NZ_CP047246.1,thermal spring,thermal spring,Env.
NZ_CP047245.1,thermal spring,thermal spring,Env.
NZ_CP047244.1,thermal spring,thermal spring,Env.
NZ_CP047243.1,thermal spring,thermal spring,Env.
NZ_CP047223.1,sludge,sludge,Env.
NZ_CP047222.1,sludge,sludge,Env.
NZ_CP047221.1,sludge,sludge,Env.
NZ_CP047220.1,sludge,sludge,Env.
NZ_CP047219.1,sludge,sludge,Env.
NZ_CP047377.1,Sablefish,,Animal
NZ_CP047392.1,Homo sapiens,,Human
NZ_CP047309.1,Homo sapiens,urine sample,Human
NZ_CP047308.1,Homo sapiens,urine sample,Human
NZ_CP047324.1,Homo sapiens,feces,Human
NZ_CP047196.1,Homo sapiens,,Human
NZ_CP047195.1,Homo sapiens,,Human
NZ_CP047194.1,Homo sapiens,,Human
NZ_CP047193.1,Homo sapiens,,Human
NZ_CP047322.1,Homo sapiens,sputum,Human
NZ_CP047320.1,Bos taurus,,Animal
NZ_CP009362.1,Homo sapiens,clinical,Human
NZ_CP067340.1,Avian,feces,Animal
NZ_CP067368.1,Kefir,Kefir,Env.
NZ_CP067367.1,Kefir,Kefir,Env.
NZ_CP067366.1,Kefir,Kefir,Env.
NZ_CP059830.1,Homo sapiens,gut mucosa,Human
NZ_AP024171.1,Homo sapiens,,Human
NZ_CP047145.1,Macrotermes barneyi,gut of fungus-growing termite,Animal
NZ_CP047421.1,poultry,stool,Animal
NZ_CP044414.1,infant feces,infant feces,Human
NZ_CP044413.1,infant feces,infant feces,Human
NZ_CP032243.1,Homo sapiens,blood,Human
NZ_CP032242.1,Homo sapiens,blood,Human
NZ_CP032241.1,Homo sapiens,blood,Human
NZ_CP047162.1,female,blood,Human
NZ_CP047161.1,female,blood,Human
NZ_CP044263.1,river surface water,river surface water,Env.
NZ_CP044261.1,river surface water,river surface water,Env.
NZ_CP026336.1,Glycine max L. Merr.,,Env.
NZ_CP026335.1,Glycine max L. Merr.,,Env.
NZ_CP033212.1,Homo sapiens,urine,Human
NZ_CP033211.1,Homo sapiens,urine,Human
NZ_CP033210.1,Homo sapiens,urine,Human
NZ_CP033209.1,Homo sapiens,urine,Human
NZ_CP033208.1,Homo sapiens,urine,Human
NZ_CP033207.1,Homo sapiens,urine,Human
NZ_CP022320.2,air,air,Env.
NZ_CP014386.1,Homo sapiens,Pus leg,Human
NZ_CP014385.1,Homo sapiens,Pus leg,Human
NZ_CP030291.1,Lacertilia,blood,Animal
NZ_CP030290.1,Lacertilia,blood,Animal
NZ_CP030289.1,Lacertilia,blood,Animal
NZ_CP029555.1,tidal marsh,tidal marsh,Env.
NZ_CP029845.1,Cryptocercus clevelandi,,Animal
NZ_CP029809.1,Cryptocercus punctulatus,,Animal
NZ_CP029821.1,Cryptocercus kyebangensis,,Env.
NZ_CP029817.1,Cryptocercus punctulatus,,Animal
NZ_CP029819.1,Cryptocercus punctulatus,,Animal
NZ_CP018916.1,Homo sapiens,University of Michigan Health System,Human
NZ_CP014396.1,Homo sapiens,Nose,Human
NZ_CP014395.1,Homo sapiens,Nose,Human
NZ_CP014394.1,Homo sapiens,Nose,Human
NZ_CP014393.1,Homo sapiens,Nose,Human
NZ_CP019200.1,Bos taurus,Fecal Sample from Dairy Farm,Animal
NZ_CP019199.1,Bos taurus,Fecal Sample from Dairy Farm,Animal
NZ_CP014698.2,Homo sapiens,Urine from hospitalized patient,Human
NZ_CP014697.2,Homo sapiens,Urine from hospitalized patient,Human
NZ_CP017185.1,Homo sapiens,,Human
NZ_CP016031.1,clinical,clinical,Human
NZ_CP015380.1,Homo sapiens,urine,Human
NZ_CP014622.1,Bos taurus,bovine pre-evisceration carcass,Animal
NZ_CP015221.1,UCB-1 pistachio rootstock,UCB-1 pistachio rootstock,Env.
NZ_CP014660.1,Homo sapiens,stool,Human
NZ_CP013345.1,activated sludge,activated sludge,Env.
NZ_CP014644.1,Phyllophaga sp.,,Animal
NC_022656.1,Homo sapiens,,Human
NZ_CP067415.1,water,water,Env.
NZ_CP067414.1,water,water,Env.
NZ_CP067419.1,water,water,Env.
NZ_CP067418.1,water,water,Env.
NZ_CP061121.1,Homo sapiens,stool,Human
NZ_CP061120.1,Homo sapiens,stool,Human
NZ_AP024163.1,Curcuma aromatica,,Env.
NZ_AP024162.1,Curcuma aromatica,,Env.
NZ_AP024158.1,Zingiber officinale,,Env.
NZ_AP024160.1,Zingiber officinale,,Env.
NZ_CP065352.1,river,river,Env.
NZ_CP063864.1,panda,panda,Animal
NZ_CP063868.1,Psittacus erithacus feces,Psittacus erithacus feces,Animal
NZ_CP063866.1,Black-collared Starling,Black-collared Starling,Animal
NZ_CP065342.1,river,river,Env.
NZ_CP063873.1,Red-breasted Parakeet,Red-breasted Parakeet,Animal
NZ_CP063872.1,Red-breasted Parakeet,Red-breasted Parakeet,Animal
NZ_CP063862.1,White-lipped Deer,White-lipped Deer,Animal
NZ_CP063861.1,White-lipped Deer,White-lipped Deer,Animal
NZ_CP063860.1,White-lipped Deer,White-lipped Deer,Animal
NZ_CP063859.1,White-lipped Deer,White-lipped Deer,Animal
NZ_CP063877.1,Manis javanica,Manis javanica,Animal
NZ_CP063876.1,Manis javanica,Manis javanica,Animal
NZ_CP063875.1,Manis javanica,Manis javanica,Animal
NZ_CP063884.1,wild chukar,feces,Animal
NZ_CP063883.1,wild chukar,feces,Animal
NZ_CP063882.1,wild chukar,feces,Animal
NZ_CP063857.1,cows,cows,Animal
NZ_AP022532.1,Homo sapiens,,Human
NZ_AP022531.1,Homo sapiens,,Human
NZ_AP022530.1,Homo sapiens,,Human
NZ_AP022529.1,Homo sapiens,,Human
NZ_AP022528.1,Homo sapiens,,Human
NZ_AP023458.1,Homo sapiens,,Human
NZ_AP023457.1,Homo sapiens,,Human
NZ_AP023456.1,Homo sapiens,,Human
NZ_AP023455.1,Homo sapiens,,Human
NZ_AP023454.1,Homo sapiens,,Human
NZ_AP022548.1,Homo sapiens,,Human
NZ_CP060093.1,Bankia setacea,gills,Animal
NZ_CP045639.1,Homo sapiens,Tibetan,Human
NZ_CP045638.1,Homo sapiens,Tibetan,Human
NZ_CP045637.1,Homo sapiens,Tibetan,Human
NZ_CP045636.1,Homo sapiens,Tibetan,Human
NZ_CP017182.1,Homo sapiens,blood,Human
NZ_CP013912.1,leaf vegetable,leaf vegetable,Env.
NZ_CP014537.1,Homo sapiens,cerebrospinal fluid,Human
NZ_CP014359.1,Homo sapiens,stool,Human
NZ_CP014357.1,Homo sapiens,stool,Human
NZ_CP012742.1,Homo sapiens,,Human
NZ_CP012835.1,Bos taurus,feces dairy cow (Bos taurus),Animal
NZ_CP012834.1,Bos taurus,feces dairy cow (Bos taurus),Animal
NZ_CP013225.1,ground turkey,ground turkey,Env.
NZ_CP013224.1,ground turkey,ground turkey,Env.
NZ_CP013325.1,Homo sapiens,respiratory,Human
NZ_CP013324.1,Homo sapiens,respiratory,Human
NZ_CP013323.1,Homo sapiens,respiratory,Human
NZ_CP013223.1,ground turkey,ground turkey,Env.
NZ_CP013221.1,ground turkey,ground turkey,Env.
NZ_CP012936.1,turkey meat,turkey meat,Env.
NZ_CP012935.1,turkey meat,turkey meat,Env.
NZ_CP012933.1,turkey meat,turkey meat,Env.
NZ_CP012932.1,turkey meat,turkey meat,Env.
NZ_CP012931.1,turkey meat,turkey meat,Env.
NZ_CP012923.1,chicken meat,chicken meat,Env.
NZ_CP012922.1,chicken meat,chicken meat,Env.
NZ_CP012906.1,Homo sapiens,Gastric biopsy,Human
NZ_CP014006.1,Homo sapiens,urine,Human
NZ_CP014005.1,Homo sapiens,urine,Human
NZ_CP013725.1,Homo sapiens,blood,Human
NZ_CP012170.1,Homo sapiens,bodily fluid,Human
NZ_CP012592.1,Diaphorina citri,,Animal
NZ_CP009453.1,activated sludge,activated sludge,Env.
NZ_CP012256.1,milk,milk,Env.
NZ_CP012255.1,milk,milk,Env.
NZ_CP012254.1,milk,milk,Env.
NZ_CP012267.1,milk powder production facility,milk powder production facility,Env.
NZ_CP012265.1,spiced meat,spiced meat,Env.
NZ_CP012425.1,Zea mays L.,,Env.
NZ_CP012424.1,Zea mays L.,,Env.
NZ_CP012423.1,Zea mays L.,,Env.
NZ_CP012164.1,Homo sapiens,excreted bodily substance,Human
NZ_CP012163.1,Homo sapiens,excreted bodily substance,Human
NZ_CP010360.2,Homo sapiens,excreted bodily substance,Human
NZ_CP012169.1,Homo sapiens,bodily fluid,Human
NZ_CP012168.1,Homo sapiens,bodily fluid,Human
NZ_CP010383.2,Homo sapiens,bodily fluid,Human
NZ_CP012348.1,Homo sapiens,,Human
NZ_CP010375.2,Homo sapiens,bodily fluid,Human
NZ_CP011933.1,Mus musculus,kidney,Animal
NZ_CP011529.1,Homo sapiens,,Human
NZ_CP011435.1,Homo sapiens,blood-culture,Human
NZ_CP011434.1,Homo sapiens,blood-culture,Human
NZ_CP011433.1,Homo sapiens,blood-culture,Human
NZ_CP011432.1,Homo sapiens,blood-culture,Human
NZ_CP011431.1,Homo sapiens,blood-culture,Human
NZ_CP011430.1,Homo sapiens,blood-culture,Human
NZ_CP011429.1,Homo sapiens,blood-culture,Human
NZ_CP010024.1,White-rot fungus Phanerochaete chrysosporium,White-rot fungus Phanerochaete chrysosporium,Env.
NZ_CP010911.1,Halyomorpha halys,distal midgut region V4,Animal
NZ_CP010910.1,Halyomorpha halys,distal midgut region V4,Animal
NZ_CP010909.1,Halyomorpha halys,distal midgut region V4,Animal
NZ_CP010908.1,Halyomorpha halys,distal midgut region V4,Animal
NZ_CP011054.1,Nile Delta Mediterranean Sea surface water,Nile Delta Mediterranean Sea surface water,Env.
NZ_CP011053.1,Nile Delta Mediterranean Sea surface water,Nile Delta Mediterranean Sea surface water,Env.
NZ_CP009012.1,citrus spp.,,Env.
NZ_CP009011.1,citrus spp.,,Env.
NZ_CP008997.1,citrus spp.,,Env.
NZ_CP008996.1,citrus spp.,,Env.
NZ_CP009015.1,citrus spp.,,Env.
NZ_CP009014.1,citrus spp.,,Env.
NZ_CP009039.1,citrus spp.,,Env.
NZ_CP009026.1,citrus spp.,,Env.
NZ_CP009009.1,citrus spp.,,Env.
NZ_CP009008.1,citrus spp.,,Env.
NZ_CP008994.1,Citrus sinensis,,Env.
NZ_CP008993.1,Citrus sinensis,,Env.
NZ_CP009018.1,citrus spp.,,Env.
NZ_CP009003.1,citrus spp.,,Env.
NZ_CP009002.1,citrus spp.,,Env.
NZ_CP008988.1,citrus spp.,,Env.
NZ_CP008987.1,citrus spp.,,Env.
NZ_CP009021.1,Citrus sinensis,,Env.
NZ_CP009006.1,Citrus sinensis,,Env.
NZ_CP009005.1,Citrus sinensis,,Env.
NZ_CP008991.1,citrus spp.,,Env.
NZ_CP009547.1,water,water,Env.
NZ_CP007768.1,Shellfish,Shellfish,Animal
NZ_CP007767.1,Shellfish,Shellfish,Animal
NZ_CP010318.1,Turkey with septicemic infection,Turkey with septicemic infection,Animal
NZ_CP010317.1,Turkey with septicemic infection,Turkey with septicemic infection,Animal
NZ_CP010316.1,Turkey with septicemic infection,Turkey with septicemic infection,Animal
NZ_CP002700.1,Myzus persicae (green peach aphid),,Env.
NZ_CP002698.1,Myzus persicae (green peach aphid),,Env.
NZ_CP002702.1,Myzus persicae,,Env.
NZ_CP002704.1,Myzus persicae,,Env.
NZ_CP009350.1,Sewage,Sewage,Env.
NZ_CP009349.1,Sewage,Sewage,Env.
NZ_CP009348.1,Sewage,Sewage,Env.
NZ_CP009347.1,Sewage,Sewage,Env.
NZ_CP009346.1,Sewage,Sewage,Env.
NZ_CP009345.1,Sewage,Sewage,Env.
NZ_CP009344.1,Sewage,Sewage,Env.
NZ_CP009155.1,environmental sample,environmental sample,Env.
NZ_CP009154.1,environmental sample,environmental sample,Env.
NZ_CP009620.1,Shellfish Hatchery,Shellfish Hatchery,Env.
NZ_CP009619.1,Shellfish Hatchery,Shellfish Hatchery,Env.
NZ_CP009905.1,Human clinical sample,Human clinical sample,Human
NZ_CP009904.1,Human clinical sample,Human clinical sample,Human
NZ_CP009903.1,Human clinical sample,Human clinical sample,Human
NZ_CP010104.1,water,water,Env.
NZ_CP010069.1,Homo sapiens,human,Human
NZ_CP010068.1,Homo sapiens,human,Human
NZ_CP009606.1,soil,soil,Env.
NZ_CP009604.1,soil,soil,Env.
NZ_CP009603.1,soil,soil,Env.
NZ_CP009366.1,human,human,Human
NZ_CP009437.1,water,water,Env.
NZ_CP009342.1,water,water,Env.
NZ_CP009463.1,Wool from Pakistan,Wool from Pakistan,Env.
NZ_CP009462.1,Wool from Pakistan,Wool from Pakistan,Env.
NZ_CP009640.1,Dust,Dust,Env.
NZ_CP009639.1,Dust,Dust,Env.
NZ_CP009638.1,Dust,Dust,Env.
NZ_CP009637.1,Dust,Dust,Env.
NZ_CP009636.1,Dust,Dust,Env.
NZ_CP009635.1,Dust,Dust,Env.
NZ_CP009634.1,Dust,Dust,Env.
NZ_CP010087.1,Homo sapiens,human tissue,Human
NZ_CP009696.1,bovine,bovine,Animal
NZ_CP009695.1,bovine,bovine,Animal
NZ_CP009340.1,pig,pig,Animal
NZ_CP009339.1,pig,pig,Animal
NZ_CP009901.1,soil,soil,Env.
NZ_CP009900.1,soil,soil,Env.
NZ_CP009597.1,bovine,bovine,Animal
NZ_CP009475.1,cat,cat,Animal
NZ_CP009327.1,human,human,Human
NZ_CP009326.1,human,human,Human
NZ_CP009324.1,sheep,sheep,Animal
NZ_CP009330.1,human,human,Human
NZ_CP009329.1,human,human,Human
NZ_CP009970.1,"Animal, carcass of dead zebra","Animal, carcass of dead zebra",Animal
NZ_CP009969.1,"Animal, carcass of dead zebra","Animal, carcass of dead zebra",Animal
NZ_CP010321.1,Bison,Bison,Animal
NZ_CP010320.1,Bison,Bison,Animal
NZ_CP009967.1,"Animal, carcass of dead zebra","Animal, carcass of dead zebra",Animal
NZ_CP009966.1,"Animal, carcass of dead zebra","Animal, carcass of dead zebra",Animal
NZ_CP009965.1,"Animal, carcass of dead zebra","Animal, carcass of dead zebra",Animal
NZ_CP009627.1,milk,milk,Env.
NZ_CP009543.1,bovine,bovine,Animal
NZ_CP009542.1,bovine,bovine,Animal
NZ_CP007575.1,environment,environment,Env.
NZ_CP009044.1,Bearded dragon,Bearded dragon,Animal
NZ_CP008890.1,hot spring,hot spring,Env.
NZ_CP007209.1,Animal faecal matter,Animal faecal matter,Animal
NZ_CP004000.1,Homo sapiens,,Human
NZ_CP003998.1,Homo sapiens,,Human
NZ_CP003997.1,Homo sapiens,,Human
NZ_CP003996.1,Homo sapiens,,Human
NZ_CP003995.1,Homo sapiens,,Human
NZ_CP003994.1,Homo sapiens,,Human
NZ_CP008848.1,soil,soil,Env.
NZ_CP008847.1,soil,soil,Env.
NZ_CP007455.1,Homo sapiens,newborn nursery,Human
NZ_CP009047.1,clinical isolate,clinical isolate,Human
NZ_CP009126.1,Solanum tuberosum,potato stems,Env.
NZ_CP010374.1,Homo sapiens,bodily fluid,Human
NZ_CP010380.1,Homo sapiens,bodily fluid,Human
NZ_CP010379.1,Homo sapiens,bodily fluid,Human
NZ_CP010378.1,Homo sapiens,bodily fluid,Human
NZ_CP010326.1,shelf,shelf,Env.
NZ_CP010325.1,shelf,shelf,Env.
NZ_CP009884.1,shelf,shelf,Env.
NZ_CP009883.1,shelf,shelf,Env.
NZ_CP009882.1,shelf,shelf,Env.
NZ_CP009881.1,shelf,shelf,Env.
NZ_CP009263.1,Oreochromis,,Animal
NZ_CP010387.1,Homo sapiens,excreted bodily substance,Human
NZ_CP010386.1,Homo sapiens,excreted bodily substance,Human
NZ_CP010385.1,Homo sapiens,excreted bodily substance,Human
NZ_CP010382.1,Homo sapiens,bodily fluid,Human
NZ_CP010381.1,Homo sapiens,bodily fluid,Human
NC_022551.1,Nauphoeta cinerea,,Animal
NC_020196.1,Blatta orientalis,,Animal
NC_019565.1,Homo sapiens,,Human
NC_019564.1,Homo sapiens,,Human
NC_019562.1,Homo sapiens,,Human
NC_019561.1,Homo sapiens,,Human
NC_012634.1,Amblyomma variegatum (cattle tick),,Animal
NZ_CP067338.1,Avian,feces,Animal
NZ_CP047116.1,chicken,feces from Chicken intestine,Animal
NZ_CP047088.1,vomit from a food poisoning case,vomit from a food poisoning case,Env.
NZ_CP047087.1,vomit from a food poisoning case,vomit from a food poisoning case,Env.
NZ_CP047086.1,vomit from a food poisoning case,vomit from a food poisoning case,Env.
NZ_CP031570.1,Homo sapiens,Rectal swab,Human
NZ_CP031569.1,Homo sapiens,Rectal swab,Human
NZ_CP031568.1,Homo sapiens,Rectal swab,Human
NZ_CP031567.1,Homo sapiens,Rectal swab,Human
NZ_CP031566.1,Homo sapiens,Rectal swab,Human
NZ_CP031584.1,Homo sapiens,Rectal swab,Human
NZ_CP031583.1,Homo sapiens,Rectal swab,Human
NZ_CP031582.1,Homo sapiens,Rectal swab,Human
NZ_CP031581.1,Homo sapiens,Rectal swab,Human
NZ_CP031580.1,Homo sapiens,Rectal swab,Human
NZ_CP031579.1,Homo sapiens,Rectal swab,Human
NZ_CP031578.1,Homo sapiens,Rectal swab,Human
NZ_CP031573.1,Homo sapiens,Rectal swab,Human
NZ_CP031572.1,Homo sapiens,Rectal swab,Human
NZ_CP031576.1,Homo sapiens,Rectal swab,Human
NZ_CP031575.1,Homo sapiens,Rectal swab,Human
NZ_CP063239.1,Homo sapiens,Greece,Human
NZ_LC586267.2,Homo sapiens,,Human
NZ_CP067231.1,river bed soil,river bed soil,Env.
NZ_CP067230.1,river bed soil,river bed soil,Env.
NZ_CP067229.1,river bed soil,river bed soil,Env.
NZ_CP067228.1,river bed soil,river bed soil,Env.
NZ_CP067227.1,river bed soil,river bed soil,Env.
NZ_CP067226.1,river bed soil,river bed soil,Env.
NZ_CP067096.1,Homo sapiens,,Human
NZ_CP067095.1,Homo sapiens,,Human
NZ_CP067094.1,Homo sapiens,,Human
NZ_CP027636.1,turkey,meat,Animal
NZ_CP027635.1,turkey,meat,Animal
NZ_CP066832.1,soil,soil,Env.
NZ_CP067068.1,soil,,Env.
NZ_CP067067.1,soil,,Env.
NZ_CP067026.1,Japanese radish,,Env.
NZ_CP067025.1,Japanese radish,,Env.
NZ_CP066533.1,Homo sapiens,rectal swab,Human
NZ_CP066532.1,Homo sapiens,rectal swab,Human
NZ_CP066531.1,Homo sapiens,rectal swab,Human
NZ_CP066530.1,Homo sapiens,rectal swab,Human
NZ_CP066529.1,Homo sapiens,rectal swab,Human
NZ_CP066544.1,Homo sapiens,blood,Human
NZ_CP066542.1,Homo sapiens,blood,Human
NZ_CP066538.1,environmental surface,environmental surface,Env.
NZ_CP066537.1,environmental surface,environmental surface,Env.
NZ_CP066536.1,environmental surface,environmental surface,Env.
NZ_CP066535.1,environmental surface,environmental surface,Env.
NZ_CP066522.1,Homo sapiens,oral swab,Human
NZ_CP066521.1,Homo sapiens,oral swab,Human
NZ_CP066520.1,Homo sapiens,oral swab,Human
NZ_CP066519.1,Homo sapiens,oral swab,Human
NZ_CP066518.1,Homo sapiens,oral swab,Human
NZ_CP066527.1,Homo sapiens,rectal swab,Human
NZ_CP066526.1,Homo sapiens,rectal swab,Human
NZ_CP066525.1,Homo sapiens,rectal swab,Human
NZ_CP066524.1,Homo sapiens,rectal swab,Human
NZ_CP060816.1,a feces sample of chicken origin,a feces sample of chicken origin,Animal
NZ_CP060815.1,a feces sample of chicken origin,a feces sample of chicken origin,Animal
NZ_CP060814.1,a feces sample of chicken origin,a feces sample of chicken origin,Animal
NZ_CP060813.1,a feces sample of chicken origin,a feces sample of chicken origin,Animal
NZ_CP060812.1,a feces sample of chicken origin,a feces sample of chicken origin,Animal
NZ_CP067021.1,Homo sapiens,Hospital wastewater,Human
NZ_CP067020.1,Homo sapiens,Hospital wastewater,Human
NZ_CP066816.1,combined sewer effluent,combined sewer effluent,Env.
NZ_CP066815.1,combined sewer effluent,combined sewer effluent,Env.
NZ_CP066814.1,combined sewer effluent,combined sewer effluent,Env.
NZ_CP060492.1,Homo sapiens,wound secretion,Human
NZ_CP065847.1,Homo sapiens,urine,Human
NZ_CP031474.1,Oyster larvae,,Animal
NZ_CP029167.1,Homo sapiens,Vet Hospital,Human
NZ_CP029165.1,Homo sapiens,Vet Hospital,Human
NZ_CP029171.1,Sus scrofa domesticus,Pig nares,Animal
NZ_CP029170.1,Sus scrofa domesticus,Pig nares,Animal
NZ_CP029169.1,Sus scrofa domesticus,Pig nares,Animal
NZ_CP029168.1,Sus scrofa domesticus,Pig nares,Animal
NZ_CP029204.1,Schizaphis graminum biotype I,adult insect on Panicum virgatum,Env.
NZ_CP029203.1,Schizaphis graminum biotype I,adult insect on Panicum virgatum,Env.
NZ_CP015644.1,sheep,brain tissue,Animal
NZ_CP015643.1,sheep,brain tissue,Animal
NZ_CP026497.1,Homo sapiens,urine,Human
NZ_CP026496.1,Homo sapiens,urine,Human
NZ_CP029051.1,sludge,sludge,Env.
NZ_CP029050.1,sludge,sludge,Env.
NZ_CP024044.1,Homo sapiens,,Human
NZ_CP024043.1,Homo sapiens,,Human
NZ_CP024042.1,Homo sapiens,,Human
NZ_CP024041.1,Homo sapiens,,Human
NZ_CP024040.1,Homo sapiens,,Human
NZ_CP024039.1,Homo sapiens,,Human
NZ_CP026605.1,microbial mat/biofilm,microbial mat/biofilm,Env.
NZ_CP020927.1,soil,soil,Env.
NZ_CP020926.1,soil,soil,Env.
NZ_CP028521.1,Woodchip bioreactor,Woodchip bioreactor,Env.
NZ_CP020891.1,Citrus hystrix,leaf tissue,Env.
NZ_CP020890.1,Citrus hystrix,leaf tissue,Env.
NZ_CP013273.1,invertebrates,soil,Animal
NZ_CP011457.1,Anderson Lake,Anderson Lake,Env.
NZ_CP011413.1,salt marsh,salt marsh,Env.
NZ_CP011006.1,water from surface of lake,water from surface of lake,Env.
NZ_CP010977.1,soil,soil,Env.
NZ_CP059417.1,Homo sapiens,urine,Human
NZ_CP059416.1,Homo sapiens,urine,Human
